
2024/07/15 (12:35:12) | ===> btop++ v.1.3.2
2024/07/15 (12:35:12) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/15 (12:42:04) | ===> btop++ v.1.3.2
2024/07/15 (12:42:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/16 (19:12:16) | ===> btop++ v.1.3.2
2024/07/16 (19:12:16) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/16 (21:28:31) | ===> btop++ v.1.3.2
2024/07/16 (21:28:31) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/16 (21:38:55) | ===> btop++ v.1.3.2
2024/07/16 (21:38:55) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/16 (21:49:41) | ===> btop++ v.1.3.2
2024/07/16 (21:49:41) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/16 (21:50:04) | ===> btop++ v.1.3.2
2024/07/16 (21:50:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/16 (22:05:16) | ===> btop++ v.1.3.2
2024/07/16 (22:05:16) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/16 (22:14:18) | ===> btop++ v.1.3.2
2024/07/16 (22:14:18) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/16 (23:00:49) | ===> btop++ v.1.3.2
2024/07/16 (23:00:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/17 (00:14:09) | ===> btop++ v.1.3.2
2024/07/17 (00:14:09) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/17 (01:08:49) | ===> btop++ v.1.3.2
2024/07/17 (01:08:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/17 (01:09:00) | ===> btop++ v.1.3.2
2024/07/17 (01:09:00) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/17 (02:22:40) | ===> btop++ v.1.3.2
2024/07/17 (02:22:40) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/17 (09:11:38) | ===> btop++ v.1.3.2
2024/07/17 (09:11:38) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/17 (20:42:37) | ===> btop++ v.1.3.2
2024/07/17 (20:42:37) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/17 (21:46:30) | ===> btop++ v.1.3.2
2024/07/17 (21:46:30) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/17 (21:47:32) | ===> btop++ v.1.3.2
2024/07/17 (21:47:32) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (11:44:33) | ===> btop++ v.1.3.2
2024/07/18 (11:44:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (14:42:17) | ===> btop++ v.1.3.2
2024/07/18 (14:42:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (14:46:21) | ===> btop++ v.1.3.2
2024/07/18 (14:46:21) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (14:46:34) | ===> btop++ v.1.3.2
2024/07/18 (14:46:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (14:48:36) | ===> btop++ v.1.3.2
2024/07/18 (14:48:36) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (14:49:26) | ===> btop++ v.1.3.2
2024/07/18 (14:49:26) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (14:52:03) | ===> btop++ v.1.3.2
2024/07/18 (14:52:03) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (14:53:14) | ===> btop++ v.1.3.2
2024/07/18 (14:53:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (14:54:47) | ===> btop++ v.1.3.2
2024/07/18 (14:54:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (15:46:54) | ===> btop++ v.1.3.2
2024/07/18 (15:46:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/19 (11:13:59) | ===> btop++ v.1.3.2
2024/07/19 (11:13:59) | WARNING: Failed to set locale UTF-8 continuing anyway.
